餐廳,地址,價格,google 評價,評論數量,標籤,位置
松柏園古早味小吃店,新北市三峽區大觀路8號,$1-200,3.8,40,中國菜,後門/老街
肉享家 Niku Bliss,新北市三峽區國際一街39號,$200-400,3.9,96,餐廳,側門
早。自己【北大】,新北市三峽區大德路160號,$1-200,4.6,99,早午餐,正門
福記牛肉麵.豬軟骨飯,新北市三峽區大觀路10號,$1-200,4.4,279,小吃店,後門/老街
勝博殿 三峽北大店,新北市三峽區學成路398號3樓,$400-600,4.0,563,日式炸豬扒餐廳,正門
五花馬水餃館 新北三峽門市,新北市三峽區大學路86號,$1-200,3.7,949,餃子,正門
王子平價牛排,新北市三峽區大德路210號,$200-400,3.2,102,牛扒,正門
錢都日式涮涮鍋-三峽北大店,新北市三峽區大學路150號,$200-400,4.3,2933,火鍋,正門
北大烤鴨,新北市三峽區大德路182號,$200-400,4.6,87,燒烤,正門
津米烤肉飯,新北市三峽區國光街189號,$1-200,3.7,72,中國菜,側門
享聚餐酒館 Savor Bistro,新北市三峽區國際一街5號2樓,$200-400,4.8,1485,餐廳,側門
蕉ㄚ吐司,新北市三峽區大觀路120號,$1-200,4.6,479,早午餐,後門/老街
早安 幸福就該吃得飽,新北市三峽區大德路162號,$1-200,4.0,414,餐廳,正門
雞博士 G-BOSS北大店,新北市三峽區大德路170號,$1-200,4.8,56,炸物串與串炸餐廳,正門
呷、豆腐鍋(Cal, Tofu house),新北市三峽區國際一街, 永久歇業,4.2,18,永久歇業,側門
泰貳泰式風味料理,新北市三峽區大德路202號,$200-400,4.7,1185,泰國菜,正門
好棒棒本舖&蔡家虹手作三明治,新北市三峽區大觀路26號,$1-200,4.3,45,三文治,後門/老街
帕司達義式料理（三峽）,新北市三峽區大觀路16號,$200-400,4.1,599,意大利菜,後門/老街
号鳥食趣義大利洋食 X 烤泡芙專賣,新北市三峽區大觀路7號,$200-400,4.3,641,餐廳,後門/老街
北投紅茶,新北市三峽區大德路198號,未提供,3.3,44,茶葉店,正門
再睡5分鐘 - 三峽和平店,新北市三峽區和平街34號,$1-200,4.8,160,冰品飲料店,後門/老街
珍煮丹 三峽北大店,新北市三峽區大學路142號,$1-200,3.8,267,冰品飲料店,正門
麻古茶坊三峽北大店,新北市三峽區大學路138號,$,3.6,258,珍珠奶茶,正門
一小步 One Step Café,新北市三峽區國光街175號,$1-200,4.8,79,咖啡店,側門
拾汣茶屋 三峽中華店,新北市三峽區中華路27號,$1-200,4.7,275,冰品飲料店,後門/老街
愛沐芋芋頭芋圓仙草凍專賣店,新北市三峽區和平街103號,$1-200,4.5,180,冰品飲料店,後門/老街
果滋味綜合飲料店,新北市三峽區國光街171號,$1-200,4.9,29,冰品飲料店,側門
可不可熟成紅茶-三峽北大店,新北市三峽區大學路148號,$1-200,3.8,250,冰品飲料店,正門
無飲國學店,新北市三峽區國學街5號,$1-200,4.0,59,冰品飲料店,側門
清心福全三峽大學店,新北市三峽區大學路136號,$1-200,4.8,165,無酒精飲料店,正門
50嵐 三峽北大店,新北市三峽區大學路160號,$1-200,4.0,180,冰品飲料店,正門
五桐號WooTEA 三峽北大店,新北市三峽區大德路475號,$1-200,3.3,103,冰品飲料店,正門
CoCo都可 三峽北大店,新北市三峽區大學路138號,$1-200,3.2,111,冰品飲料店,正門
迷客夏Milksha 新北三峽北大店,新北市三峽區學成路261號,$1-200,3.5,363,珍珠奶茶,正門
民權小吃館麻辣臭豆腐炸臭豆腐,新北市三峽區民權街,$1-200,4.6,139,小吃店,後門/老街
原桌kimolo·阿美族早午餐,新北市三峽區大德路145號2樓,$200-400,4.8,327,早午餐,正門
糖匠秝果,新北市三峽區國光街173號,未提供,4.6,139,甜品店,側門
鬍鬚張魯肉飯 三峽北大店,新北市三峽區大觀路16號,$1-200,3.9,1056,台灣菜,後門/老街
阿玉姐水果飴,新北市三峽區和平街,未提供,4.5,33,糖果店,後門/老街
三禾手打烏龍麵,新北市三峽區大德路109號,$200-400,4.0,957,台灣菜,正門
泡泡龍,新北市三峽區國光街,$1-200,4.0,130,冰品飲料店,側門
厚野雞排 三峽店,新北市三峽區和平街87號,$1-200,4.8,144,炸雞,後門/老街
三角鍋燒 （煎餃）,新北市三峽區大德路194號,$1-200,4.4,263,餐廳,正門
夯牛屋,新北市三峽區國際二街23號,$200-400,3.9,735,牛扒,側門
享亮文具樂園-三峽店,新北市三峽區學成路319號,未提供,4.5,185,文具店,正門
赤田屋咖哩飯,新北市三峽區大觀路24號,$1-200,4.1,55,餐廳,後門/老街
Hang Ba碳烤土司,新北市三峽區國光街,$1-200,4.2,63,美式餐車店,側門
小林甜湯,新北市三峽區民權街9號,$1-200,4.4,108,點心,後門/老街
特點平價牛排,新北市三峽區大德路473號,$200-400,4.1,616,牛扒,正門
日生珍味,新北市三峽區學成路320號,$1-200,3.9,61,外賣自取餐廳,正門
